smoothed;3
(;i;t; ;s;g;r;e;a;o;b;j;n;d;y;);c;m;k;h;w;p;l;f;v;u;x;z;q;.;#
az;0.005848;0.315789;0.005848;0.005848;0.005848;0.005848;0.005848;0.058480;0.052632;0.251462;0.005848;0.005848;0.005848;0.005848;0.169591;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848
aq;0.028571;0.028571;0.028571;0.114286;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571
a.;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.189189;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
a#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
o(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
oi;0.000532;0.000532;0.002127;0.000532;0.007974;0.000532;0.004253;0.000532;0.001595;0.000532;0.000532;0.000532;0.920255;0.017544;0.000532;0.001595;0.023923;0.000532;0.000532;0.000532;0.000532;0.000532;0.009038;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532
ot;0.000195;0.039525;0.026285;0.473520;0.011098;0.000584;0.000389;0.109034;0.038746;0.004673;0.000974;0.000195;0.000779;0.000195;0.000779;0.074766;0.001947;0.000195;0.000195;0.212812;0.000195;0.000389;0.000389;0.000195;0.000195;0.000779;0.000195;0.000195;0.000195;0.000195;0.000195
o ;0.000078;0.080246;0.161117;0.002651;0.074320;0.036029;0.025813;0.016923;0.071902;0.025891;0.076659;0.008110;0.014115;0.049676;0.041488;0.000780;0.037745;0.054901;0.012634;0.045075;0.061530;0.031740;0.026671;0.024799;0.005615;0.010606;0.000078;0.000312;0.002340;0.000078;0.000078
os;0.000399;0.093051;0.275559;0.075879;0.125399;0.000399;0.000399;0.347045;0.015176;0.009984;0.000799;0.000399;0.001997;0.000399;0.000399;0.012380;0.009585;0.000799;0.000399;0.002796;0.000399;0.014377;0.000399;0.000399;0.000399;0.008786;0.000399;0.000399;0.000399;0.000399;0.000399
og;0.001307;0.209150;0.001307;0.016993;0.006536;0.016993;0.264052;0.109804;0.032680;0.009150;0.001307;0.001307;0.058824;0.001307;0.183007;0.005229;0.001307;0.006536;0.001307;0.001307;0.001307;0.002614;0.010458;0.001307;0.001307;0.047059;0.001307;0.001307;0.001307;0.001307;0.001307
or;0.000088;0.032306;0.160917;0.317883;0.026951;0.015714;0.023703;0.121763;0.018787;0.001405;0.000702;0.000088;0.015978;0.046352;0.032482;0.060311;0.011413;0.033974;0.047845;0.000527;0.005443;0.007725;0.015539;0.000263;0.000088;0.001317;0.000088;0.000088;0.000088;0.000088;0.000088
oe;0.001401;0.002801;0.001401;0.037815;0.770308;0.001401;0.005602;0.001401;0.001401;0.001401;0.001401;0.001401;0.008403;0.002801;0.001401;0.008403;0.008403;0.002801;0.001401;0.012605;0.001401;0.001401;0.033613;0.001401;0.078431;0.001401;0.002801;0.001401;0.001401;0.001401;0.001401
oa;0.003390;0.003390;0.111864;0.013559;0.027119;0.003390;0.135593;0.003390;0.006780;0.003390;0.013559;0.003390;0.050847;0.237288;0.003390;0.006780;0.200000;0.006780;0.010169;0.003390;0.003390;0.003390;0.105085;0.003390;0.003390;0.010169;0.010169;0.003390;0.003390;0.003390;0.003390
oo;0.000503;0.000503;0.037707;0.059829;0.024635;0.003519;0.042232;0.000503;0.001006;0.001006;0.002011;0.000503;0.054801;0.239819;0.000503;0.012066;0.000503;0.046254;0.381599;0.002514;0.000503;0.019105;0.051785;0.010558;0.000503;0.000503;0.000503;0.003017;0.000503;0.000503;0.000503
ob;0.000894;0.025916;0.015192;0.086685;0.099196;0.000894;0.001787;0.098302;0.265416;0.044683;0.024129;0.016979;0.002681;0.000894;0.000894;0.009830;0.000894;0.000894;0.000894;0.000894;0.000894;0.000894;0.181412;0.002681;0.101877;0.009830;0.000894;0.000894;0.000894;0.000894;0.000894
oj;0.016667;0.016667;0.016667;0.033333;0.016667;0.016667;0.016667;0.483333;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
on;0.000065;0.005456;0.109502;0.339547;0.106060;0.042216;0.000195;0.132623;0.062415;0.015133;0.000260;0.000195;0.029941;0.029421;0.003832;0.054946;0.019354;0.002923;0.000714;0.000130;0.000325;0.000844;0.018380;0.011496;0.010781;0.001104;0.000260;0.000520;0.000260;0.001039;0.000065
od;0.000692;0.011757;0.000692;0.302905;0.018672;0.007607;0.002075;0.095436;0.146611;0.004149;0.002766;0.000692;0.002766;0.022130;0.215768;0.064315;0.008990;0.000692;0.000692;0.001383;0.006224;0.000692;0.002766;0.001383;0.000692;0.073997;0.000692;0.000692;0.000692;0.000692;0.000692
oy;0.004444;0.035556;0.004444;0.231111;0.026667;0.004444;0.004444;0.226667;0.057778;0.004444;0.048889;0.004444;0.004444;0.004444;0.004444;0.066667;0.071111;0.128889;0.004444;0.004444;0.004444;0.004444;0.013333;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444
o);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
oc;0.000755;0.267925;0.034717;0.003774;0.000755;0.000755;0.261132;0.064151;0.089057;0.008302;0.000755;0.000755;0.000755;0.000755;0.002264;0.000755;0.018113;0.000755;0.120000;0.008302;0.000755;0.000755;0.006038;0.000755;0.000755;0.102642;0.000755;0.000755;0.000755;0.000755;0.000755
om;0.000190;0.068913;0.000190;0.212450;0.003807;0.000190;0.000190;0.461641;0.024557;0.011422;0.005901;0.000190;0.002094;0.000381;0.012564;0.035979;0.000571;0.063583;0.000190;0.000190;0.000190;0.086808;0.000952;0.005521;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190
ok;0.000785;0.085557;0.000785;0.379906;0.059655;0.000785;0.000785;0.161695;0.229199;0.001570;0.000785;0.000785;0.000785;0.000785;0.000785;0.057300;0.000785;0.001570;0.000785;0.001570;0.000785;0.000785;0.003925;0.000785;0.000785;0.000785;0.000785;0.000785;0.000785;0.001570;0.001570
oh;0.002212;0.037611;0.002212;0.305310;0.006637;0.002212;0.004425;0.365044;0.004425;0.026549;0.002212;0.002212;0.170354;0.002212;0.002212;0.028761;0.002212;0.002212;0.002212;0.002212;0.002212;0.004425;0.002212;0.002212;0.002212;0.002212;0.002212;0.002212;0.002212;0.002212;0.002212
ow;0.000187;0.028684;0.002437;0.657668;0.025497;0.000187;0.000187;0.049869;0.011061;0.000375;0.000562;0.000187;0.097675;0.005812;0.000937;0.100675;0.000187;0.000187;0.000187;0.001875;0.000187;0.000187;0.011624;0.000375;0.000187;0.002062;0.000187;0.000187;0.000187;0.000187;0.000187
op;0.000396;0.050713;0.021395;0.051109;0.009905;0.000396;0.005151;0.123217;0.017829;0.029319;0.000396;0.000396;0.000792;0.001585;0.001585;0.007924;0.000396;0.005151;0.000396;0.028922;0.000396;0.067353;0.551506;0.000396;0.000396;0.020998;0.000396;0.000396;0.000396;0.000396;0.000396
ol;0.000377;0.218491;0.006038;0.048302;0.007547;0.000377;0.000377;0.072453;0.022642;0.101509;0.001509;0.000377;0.000377;0.138491;0.004906;0.009057;0.000377;0.000377;0.015472;0.000377;0.000377;0.000377;0.200755;0.017358;0.052075;0.077736;0.000377;0.000377;0.000377;0.000377;0.000377
of;0.000129;0.002713;0.014599;0.772739;0.000129;0.000129;0.000129;0.005297;0.000258;0.001034;0.000129;0.000129;0.000129;0.000129;0.000129;0.151163;0.000388;0.000129;0.000129;0.000129;0.000129;0.000388;0.000129;0.048708;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129
ov;0.000699;0.081062;0.000699;0.004892;0.001398;0.000699;0.000699;0.860238;0.031447;0.002096;0.000699;0.000699;0.000699;0.000699;0.000699;0.002096;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699
ou;0.000065;0.000454;0.205558;0.282171;0.055447;0.044994;0.149656;0.000065;0.000065;0.000065;0.005649;0.000065;0.058499;0.002532;0.000065;0.042008;0.003376;0.000130;0.000065;0.000065;0.000065;0.012076;0.128490;0.000130;0.007856;0.000065;0.000065;0.000065;0.000065;0.000065;0.000065
ox;0.004878;0.097561;0.004878;0.585366;0.009756;0.004878;0.004878;0.019512;0.004878;0.004878;0.004878;0.004878;0.024390;0.004878;0.029268;0.112195;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.009756;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878
oz;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.208333;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.083333;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.104167;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
oq;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.230769;0.025641;0.025641;0.025641;0.025641;0.025641
o.;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
o#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
b(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
bi;0.000910;0.000910;0.180164;0.077343;0.008189;0.252957;0.013649;0.033667;0.035487;0.012739;0.008189;0.000910;0.062784;0.008189;0.000910;0.021838;0.008189;0.000910;0.001820;0.000910;0.000910;0.005460;0.238399;0.001820;0.000910;0.000910;0.000910;0.017288;0.000910;0.000910;0.000910
bt;0.006757;0.020270;0.006757;0.459459;0.040541;0.006757;0.013514;0.020270;0.114865;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.087838;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.067568;0.006757;0.006757;0.006757;0.006757;0.006757;0.027027;0.006757;0.006757
b ;0.004975;0.129353;0.124378;0.004975;0.024876;0.029851;0.014925;0.014925;0.149254;0.089552;0.024876;0.009950;0.004975;0.019900;0.024876;0.004975;0.039801;0.019900;0.009950;0.044776;0.079602;0.029851;0.024876;0.039801;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975
bs;0.002604;0.080729;0.104167;0.229167;0.002604;0.002604;0.002604;0.093750;0.005208;0.315104;0.002604;0.002604;0.002604;0.002604;0.002604;0.044271;0.023438;0.002604;0.002604;0.007812;0.002604;0.002604;0.002604;0.002604;0.002604;0.039062;0.002604;0.002604;0.002604;0.005208;0.002604
bg;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.184211;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
br;0.001376;0.281981;0.001376;0.001376;0.001376;0.001376;0.002751;0.317744;0.111417;0.196699;0.001376;0.001376;0.001376;0.001376;0.011004;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.044017;0.001376;0.002751;0.001376;0.001376;0.001376
be;0.000140;0.054538;0.046008;0.263879;0.016921;0.006852;0.130751;0.109215;0.008390;0.000140;0.000140;0.000140;0.013425;0.007272;0.006852;0.051461;0.178297;0.000140;0.000420;0.012306;0.000140;0.000140;0.059013;0.029786;0.000979;0.000140;0.000140;0.001818;0.000140;0.000280;0.000140
ba;0.000544;0.010881;0.066376;0.002720;0.202938;0.009249;0.073449;0.000544;0.000544;0.000544;0.096300;0.000544;0.066376;0.091948;0.003808;0.001088;0.233406;0.072361;0.005441;0.001088;0.000544;0.003808;0.049510;0.001088;0.000544;0.001632;0.000544;0.000544;0.000544;0.000544;0.000544
bo;0.000312;0.000936;0.053978;0.001560;0.012480;0.004680;0.050234;0.003120;0.011856;0.086427;0.004368;0.000312;0.014353;0.097972;0.010296;0.000312;0.000312;0.001872;0.000312;0.000312;0.001248;0.000312;0.013729;0.000312;0.004992;0.619657;0.002496;0.000312;0.000312;0.000312;0.000312
bb;0.009709;0.126214;0.009709;0.067961;0.048544;0.009709;0.009709;0.097087;0.165049;0.019417;0.009709;0.009709;0.009709;0.009709;0.174757;0.009709;0.019417;0.009709;0.009709;0.009709;0.009709;0.009709;0.058252;0.009709;0.009709;0.019417;0.009709;0.009709;0.009709;0.009709;0.009709
bj;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.633333;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.044444;0.011111;0.011111;0.011111;0.011111;0.011111
bn;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.162162;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
bd;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
by;0.001004;0.007028;0.001004;0.804217;0.008032;0.001004;0.001004;0.008032;0.002008;0.001004;0.002008;0.001004;0.001004;0.001004;0.001004;0.143574;0.001004;0.001004;0.001004;0.001004;0.001004;0.001004;0.002008;0.001004;0.001004;0.001004;0.001004;0.001004;0.001004;0.001004;0.001004
b);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
bc;0.011765;0.011765;0.011765;0.517647;0.023529;0.011765;0.011765;0.011765;0.011765;0.047059;0.011765;0.011765;0.011765;0.011765;0.011765;0.094118;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765
bm;0.022727;0.181818;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.159091;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
bk;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
bh;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bw;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.230769;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
bp;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.162162;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
bl;0.000514;0.242424;0.000514;0.000514;0.000514;0.000514;0.000514;0.489471;0.081150;0.027221;0.000514;0.000514;0.000514;0.000514;0.132512;0.000514;0.000514;0.000514;0.000514;0.000514;0.000514;0.000514;0.000514;0.000514;0.000514;0.014381;0.000514;0.000514;0.000514;0.000514;0.000514
bf;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571
bv;0.006944;0.791667;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944
bu;0.000379;0.033763;0.760243;0.000759;0.072838;0.001517;0.026176;0.000379;0.000379;0.000379;0.002276;0.000379;0.026176;0.006449;0.022762;0.000759;0.012519;0.001517;0.000379;0.002276;0.000379;0.000379;0.015933;0.002276;0.000379;0.000379;0.000379;0.006449;0.000379;0.000379;0.000379
bx;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
bz;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
bq;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
b.;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
b#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
j(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ji;0.013514;0.013514;0.027027;0.027027;0.013514;0.013514;0.013514;0.027027;0.013514;0.013514;0.013514;0.013514;0.040541;0.013514;0.013514;0.013514;0.013514;0.256757;0.013514;0.013514;0.013514;0.013514;0.283784;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514
jt;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
j ;0.018519;0.055556;0.018519;0.018519;0.166667;0.018519;0.055556;0.018519;0.092593;0.074074;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.055556;0.018519;0.037037;0.018519;0.037037;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
js;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jg;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
