smoothed;3
(;h;e;l;o; ;i;m;d;n;g;r;a;t;);y;u;k;c;p;s;f;b;v;w;z;q;j;x;,;.;?;#
rp;0.003731;0.007463;0.067164;0.041045;0.354478;0.014925;0.026119;0.003731;0.003731;0.003731;0.003731;0.354478;0.011194;0.014925;0.007463;0.003731;0.003731;0.003731;0.003731;0.003731;0.018657;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731
rs;0.000218;0.015693;0.119442;0.000218;0.197690;0.300349;0.017655;0.000218;0.001526;0.000218;0.000218;0.000218;0.060811;0.199869;0.044464;0.000654;0.026591;0.001090;0.001090;0.007847;0.000218;0.000218;0.000436;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000436;0.000654;0.000436;0.000218
rf;0.004405;0.004405;0.488987;0.008811;0.167401;0.013216;0.030837;0.004405;0.004405;0.004405;0.004405;0.004405;0.048458;0.004405;0.004405;0.004405;0.127753;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405
rb;0.005780;0.005780;0.057803;0.011561;0.121387;0.057803;0.364162;0.005780;0.005780;0.017341;0.005780;0.005780;0.173410;0.005780;0.011561;0.011561;0.017341;0.005780;0.005780;0.005780;0.028902;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780
rv;0.002105;0.002105;0.280000;0.002105;0.031579;0.002105;0.341053;0.002105;0.002105;0.002105;0.002105;0.002105;0.284211;0.002105;0.002105;0.002105;0.002105;0.002105;0.002105;0.002105;0.002105;0.002105;0.002105;0.002105;0.002105;0.002105;0.002105;0.002105;0.002105;0.004211;0.002105;0.002105;0.002105
rw;0.006329;0.063291;0.056962;0.006329;0.018987;0.012658;0.278481;0.006329;0.006329;0.006329;0.006329;0.006329;0.398734;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329
rz;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
rq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
rj;0.026316;0.026316;0.131579;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
rx;0.025000;0.025000;0.025000;0.025000;0.025000;0.100000;0.100000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
r,;0.027778;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
r.;0.014706;0.014706;0.014706;0.014706;0.014706;0.455882;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.088235;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
r?;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
r#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
a(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ah;0.000292;0.000292;0.018692;0.000292;0.001168;0.823598;0.000292;0.000292;0.000292;0.000584;0.000292;0.000292;0.008762;0.000292;0.124124;0.000292;0.000292;0.000292;0.000292;0.000292;0.000876;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000584;0.000292;0.013435;0.001460;0.000292;0.000292
ae;0.014085;0.014085;0.014085;0.408451;0.014085;0.028169;0.014085;0.014085;0.042254;0.014085;0.014085;0.028169;0.014085;0.028169;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.084507;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
al;0.000058;0.000116;0.011769;0.469419;0.006029;0.192417;0.074149;0.008406;0.001391;0.000232;0.000406;0.016929;0.003710;0.018088;0.041452;0.002899;0.013044;0.077512;0.001797;0.000928;0.036176;0.004348;0.000348;0.000580;0.017218;0.000058;0.000116;0.000116;0.000058;0.000058;0.000058;0.000058;0.000058
ao;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.229167;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.083333;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
a ;0.000086;0.040278;0.002828;0.127517;0.017139;0.018768;0.028194;0.053475;0.045419;0.021339;0.048847;0.046191;0.020396;0.068215;0.004542;0.011741;0.004371;0.006342;0.075499;0.069586;0.086040;0.039592;0.077899;0.022710;0.049961;0.000514;0.005999;0.005485;0.000086;0.000171;0.000600;0.000086;0.000086
ai;0.000269;0.000269;0.000269;0.057589;0.000269;0.012110;0.000269;0.060280;0.208288;0.424381;0.024489;0.063778;0.000538;0.120291;0.002691;0.000538;0.000269;0.000269;0.000807;0.000269;0.013994;0.000807;0.000269;0.003767;0.001076;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269
am;0.000264;0.000527;0.465595;0.000264;0.041656;0.161086;0.099657;0.015291;0.000527;0.017137;0.000264;0.000527;0.050620;0.000264;0.023728;0.001582;0.001055;0.000264;0.000264;0.085684;0.017928;0.000527;0.011600;0.000264;0.000527;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000527;0.000791
ad;0.000302;0.002719;0.133837;0.017523;0.009668;0.439275;0.074924;0.021752;0.038671;0.003323;0.000604;0.001511;0.014199;0.000302;0.067976;0.084290;0.013897;0.000604;0.005740;0.002719;0.018429;0.000906;0.000302;0.041390;0.000302;0.000302;0.000604;0.002115;0.000302;0.000604;0.000302;0.000302;0.000302
an;0.000037;0.000110;0.007935;0.000329;0.011628;0.236580;0.024572;0.000037;0.380613;0.011994;0.018429;0.000037;0.008081;0.116828;0.039235;0.072802;0.001389;0.007789;0.023621;0.000037;0.036639;0.000183;0.000110;0.000037;0.000073;0.000073;0.000037;0.000037;0.000219;0.000256;0.000110;0.000073;0.000073
ag;0.000368;0.000368;0.305709;0.000737;0.056354;0.016206;0.081768;0.007366;0.000368;0.006998;0.015101;0.264825;0.208471;0.000368;0.003315;0.000368;0.021363;0.000368;0.000368;0.000368;0.004420;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368
ar;0.000084;0.000168;0.324903;0.020165;0.022853;0.082927;0.062006;0.015376;0.078390;0.010839;0.098387;0.028987;0.027054;0.113090;0.012939;0.027306;0.000168;0.016720;0.015376;0.001008;0.032095;0.000336;0.005377;0.001764;0.000420;0.000084;0.000084;0.000084;0.000672;0.000084;0.000084;0.000084;0.000084
aa;0.020833;0.041667;0.020833;0.020833;0.020833;0.062500;0.020833;0.104167;0.020833;0.083333;0.020833;0.041667;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.041667;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
at;0.000032;0.014797;0.119242;0.000643;0.003603;0.539822;0.095342;0.001126;0.000257;0.002284;0.000064;0.000676;0.007270;0.016502;0.081897;0.000097;0.005983;0.000032;0.008782;0.000032;0.096790;0.004085;0.000097;0.000032;0.000097;0.000064;0.000032;0.000032;0.000032;0.000032;0.000129;0.000064;0.000032
a);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ay;0.000108;0.000108;0.009421;0.000541;0.000433;0.627071;0.104602;0.002057;0.000325;0.000325;0.000217;0.000108;0.000650;0.001083;0.105035;0.000108;0.000108;0.000108;0.000975;0.000541;0.082404;0.000108;0.060206;0.000217;0.000108;0.000108;0.000108;0.000108;0.000108;0.001841;0.000541;0.000108;0.000108
au;0.000307;0.000307;0.000614;0.022427;0.000307;0.002765;0.000307;0.001843;0.032565;0.009217;0.038095;0.013210;0.000307;0.044854;0.000614;0.000307;0.000307;0.000307;0.002458;0.000307;0.824578;0.000307;0.000307;0.000614;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307
ak;0.000407;0.001221;0.717834;0.000814;0.000407;0.052932;0.175896;0.000407;0.005293;0.000814;0.000407;0.000814;0.004479;0.001629;0.006515;0.002850;0.000814;0.005293;0.000407;0.000407;0.011808;0.004072;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407
ac;0.000173;0.061094;0.107650;0.001558;0.001904;0.001558;0.051056;0.000173;0.000173;0.000519;0.000173;0.013499;0.015230;0.440810;0.000173;0.011596;0.005711;0.217895;0.064036;0.000173;0.001211;0.000173;0.000173;0.000173;0.000173;0.000173;0.001731;0.000173;0.000173;0.000173;0.000173;0.000173;0.000173
ap;0.000532;0.053781;0.079340;0.003195;0.044728;0.045261;0.093717;0.001065;0.000532;0.000532;0.000532;0.000532;0.088392;0.024494;0.008520;0.011715;0.001065;0.000532;0.003727;0.504792;0.026624;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532
as;0.000102;0.009325;0.065683;0.000820;0.052567;0.481709;0.057178;0.000512;0.000307;0.020699;0.000102;0.000102;0.000922;0.078389;0.075725;0.011682;0.011067;0.041193;0.006456;0.005226;0.078799;0.000102;0.000102;0.000102;0.000205;0.000102;0.000102;0.000102;0.000102;0.000102;0.000205;0.000102;0.000102
af;0.001905;0.001905;0.066667;0.003810;0.003810;0.015238;0.011429;0.001905;0.001905;0.001905;0.011429;0.112381;0.003810;0.481905;0.003810;0.001905;0.001905;0.001905;0.001905;0.001905;0.003810;0.241905;0.001905;0.001905;0.001905;0.001905;0.001905;0.001905;0.001905;0.001905;0.001905;0.001905;0.001905
ab;0.000209;0.000626;0.007509;0.327284;0.531081;0.004589;0.039841;0.000209;0.000417;0.001043;0.000834;0.001877;0.007092;0.000209;0.000417;0.015645;0.007301;0.000209;0.000417;0.000209;0.045891;0.000209;0.004380;0.000209;0.000417;0.000209;0.000209;0.000417;0.000209;0.000209;0.000209;0.000209;0.000209
av;0.000227;0.000227;0.876647;0.000454;0.026579;0.000227;0.081554;0.000227;0.000227;0.000227;0.000227;0.000454;0.006134;0.000227;0.000227;0.001817;0.000227;0.000227;0.000227;0.000227;0.000227;0.000227;0.000227;0.000682;0.000227;0.000227;0.000227;0.000227;0.000227;0.000227;0.000227;0.000227;0.000227
aw;0.001577;0.001577;0.086751;0.009464;0.001577;0.318612;0.014196;0.006309;0.001577;0.017350;0.004732;0.004732;0.324921;0.001577;0.050473;0.011041;0.001577;0.018927;0.001577;0.001577;0.094637;0.007886;0.001577;0.001577;0.001577;0.001577;0.001577;0.001577;0.001577;0.001577;0.001577;0.001577;0.001577
az;0.003788;0.003788;0.026515;0.003788;0.049242;0.011364;0.310606;0.003788;0.003788;0.003788;0.003788;0.003788;0.007576;0.007576;0.003788;0.465909;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.022727;0.003788;0.003788;0.003788;0.003788;0.003788;0.003788;0.007576
aq;0.021739;0.021739;0.021739;0.021739;0.021739;0.260870;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
aj;0.006369;0.006369;0.006369;0.006369;0.770701;0.012739;0.012739;0.006369;0.006369;0.006369;0.006369;0.006369;0.019108;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369
ax;0.003717;0.003717;0.174721;0.003717;0.055762;0.204461;0.345725;0.003717;0.003717;0.003717;0.003717;0.003717;0.018587;0.003717;0.052045;0.037175;0.003717;0.003717;0.003717;0.007435;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.014870;0.003717;0.003717;0.003717;0.003717
a,;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
a.;0.025641;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.128205;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
a?;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
a#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
t(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
th;0.000016;0.000016;0.437430;0.000325;0.025767;0.048003;0.186629;0.000130;0.000081;0.001399;0.000016;0.010362;0.277625;0.000049;0.007906;0.001708;0.000521;0.000016;0.000244;0.000033;0.001253;0.000179;0.000033;0.000016;0.000114;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016
te;0.000076;0.000076;0.007260;0.084365;0.000688;0.165673;0.000917;0.040960;0.148785;0.093841;0.007718;0.258062;0.017500;0.000153;0.029726;0.000076;0.000764;0.000076;0.013373;0.005273;0.060981;0.001910;0.000076;0.051429;0.000382;0.000229;0.000076;0.000076;0.009094;0.000153;0.000076;0.000076;0.000076
tl;0.000708;0.000708;0.409059;0.025478;0.007077;0.000708;0.018401;0.000708;0.000708;0.000708;0.000708;0.000708;0.005662;0.000708;0.000708;0.515216;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708
to;0.000066;0.000066;0.000396;0.009500;0.024344;0.724238;0.001056;0.006861;0.010621;0.020055;0.005608;0.034371;0.000132;0.014910;0.109975;0.000396;0.004288;0.000264;0.002573;0.021177;0.001319;0.000264;0.000264;0.000330;0.005410;0.000066;0.000066;0.000132;0.000924;0.000066;0.000066;0.000132;0.000066
t ;0.000017;0.034334;0.017940;0.044650;0.066078;0.004900;0.137869;0.036195;0.028953;0.019418;0.015913;0.023637;0.082040;0.153134;0.001296;0.049002;0.011511;0.021411;0.026461;0.022807;0.055031;0.016810;0.039982;0.002940;0.079034;0.000116;0.001113;0.006993;0.000133;0.000216;0.000033;0.000017;0.000017
ti;0.000080;0.000239;0.018851;0.045816;0.335667;0.003261;0.000398;0.099745;0.000318;0.168390;0.003341;0.016306;0.036192;0.012568;0.000795;0.000080;0.000080;0.000477;0.114222;0.008431;0.017897;0.023385;0.001989;0.084951;0.000159;0.004216;0.001591;0.000080;0.000159;0.000080;0.000080;0.000080;0.000080
tm;0.007692;0.007692;0.561538;0.015385;0.030769;0.015385;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.161538;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692
td;0.014493;0.014493;0.014493;0.014493;0.057971;0.434783;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.043478;0.014493;0.028986;0.014493;0.014493;0.014493;0.014493;0.014493;0.028986;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493
tn;0.005348;0.005348;0.347594;0.005348;0.379679;0.005348;0.026738;0.005348;0.005348;0.005348;0.005348;0.005348;0.085561;0.005348;0.005348;0.005348;0.010695;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348
tg;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
tr;0.000213;0.000213;0.147754;0.000213;0.105174;0.000213;0.139238;0.000213;0.000213;0.000213;0.000213;0.000213;0.221205;0.000213;0.000426;0.209921;0.170747;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213
ta;0.000140;0.000280;0.000140;0.266368;0.000140;0.038273;0.058601;0.006869;0.000421;0.161923;0.023132;0.104024;0.000280;0.151549;0.005888;0.007290;0.002944;0.080050;0.020749;0.004767;0.007711;0.002243;0.041077;0.000140;0.000421;0.000140;0.000140;0.000140;0.013599;0.000140;0.000140;0.000140;0.000140
tt;0.000362;0.001449;0.349275;0.163043;0.021377;0.006159;0.153623;0.000362;0.000362;0.000362;0.000362;0.021014;0.057971;0.000362;0.001812;0.213406;0.000362;0.000362;0.000362;0.000362;0.002536;0.000362;0.000362;0.000362;0.000725;0.000362;0.000362;0.000362;0.000362;0.000362;0.000362;0.000362;0.000362
t);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ty;0.000351;0.000351;0.000703;0.010545;0.000703;0.730756;0.000703;0.000703;0.000351;0.001054;0.000351;0.001757;0.000351;0.001054;0.125132;0.000351;0.000351;0.000351;0.000351;0.114236;0.003866;0.001054;0.000351;0.000351;0.000351;0.000351;0.000351;0.000351;0.000703;0.000351;0.000703;0.000351;0.000351
tu;0.000302;0.000302;0.009055;0.001811;0.003924;0.001207;0.014488;0.007848;0.047389;0.026562;0.000906;0.263206;0.375189;0.016299;0.000302;0.000604;0.000302;0.000604;0.006641;0.047691;0.024147;0.103230;0.044974;0.000302;0.000302;0.000302;0.000302;0.000302;0.000302;0.000302;0.000302;0.000302;0.000302
tk;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
tc;0.001391;0.840056;0.004172;0.005563;0.051460;0.034771;0.002782;0.001391;0.001391;0.001391;0.001391;0.009736;0.004172;0.001391;0.006954;0.005563;0.004172;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391;0.001391
tp;0.014493;0.057971;0.086957;0.144928;0.043478;0.014493;0.043478;0.014493;0.014493;0.014493;0.014493;0.057971;0.072464;0.014493;0.014493;0.014493;0.086957;0.014493;0.014493;0.057971;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493
ts;0.000106;0.000951;0.009830;0.000528;0.002748;0.849065;0.005496;0.000106;0.000423;0.000106;0.000106;0.000106;0.000317;0.001057;0.126942;0.000211;0.000106;0.000106;0.000106;0.000106;0.000211;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106
