smoothed;3
(;a;n;d; ;w;e;r;b;c;k;g;l;s;o;m;p;u;t;j;);i;h;y;f;x;q;v;z;.;,;ö;#
np;0.011905;0.095238;0.011905;0.011905;0.011905;0.011905;0.011905;0.071429;0.011905;0.011905;0.011905;0.011905;0.261905;0.011905;0.178571;0.011905;0.011905;0.047619;0.011905;0.011905;0.011905;0.023810;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905
nu;0.000976;0.044878;0.002927;0.003902;0.015610;0.000976;0.107317;0.006829;0.008780;0.102439;0.017561;0.002927;0.000976;0.027317;0.023415;0.306341;0.003902;0.000976;0.170732;0.000976;0.002927;0.119024;0.000976;0.000976;0.018537;0.000976;0.000976;0.000976;0.000976;0.000976;0.000976;0.000976;0.000976
nt;0.000048;0.028736;0.000048;0.000144;0.575862;0.000048;0.075287;0.045259;0.000144;0.000048;0.000048;0.000192;0.016954;0.050144;0.037308;0.000575;0.000144;0.004071;0.000048;0.000048;0.090757;0.059531;0.008046;0.005891;0.000239;0.000048;0.000048;0.000048;0.000048;0.000048;0.000048;0.000048;0.000048
nj;0.008772;0.035088;0.008772;0.008772;0.008772;0.008772;0.105263;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.280702;0.008772;0.008772;0.324561;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772
n);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ni;0.000239;0.057177;0.255263;0.000239;0.009330;0.000239;0.135885;0.000718;0.000957;0.052632;0.002392;0.036842;0.003589;0.110287;0.050478;0.034211;0.007416;0.013636;0.145694;0.000239;0.002153;0.000239;0.000478;0.000239;0.019856;0.003349;0.003589;0.023684;0.027990;0.000239;0.000239;0.000239;0.000239
nh;0.008403;0.243697;0.008403;0.008403;0.008403;0.008403;0.294118;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.016807;0.050420;0.008403;0.008403;0.016807;0.008403;0.008403;0.008403;0.151261;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403
ny;0.000448;0.011638;0.001343;0.000895;0.482095;0.093107;0.020591;0.000448;0.074754;0.000448;0.000448;0.000448;0.001343;0.004029;0.013429;0.044315;0.001791;0.000895;0.146822;0.000448;0.089973;0.005372;0.000448;0.000448;0.000448;0.000448;0.000448;0.000448;0.000448;0.000448;0.000448;0.000448;0.000448
nf;0.001621;0.056726;0.001621;0.001621;0.001621;0.001621;0.085900;0.092382;0.001621;0.001621;0.001621;0.001621;0.207455;0.001621;0.392220;0.001621;0.001621;0.037277;0.001621;0.001621;0.001621;0.085900;0.001621;0.001621;0.001621;0.001621;0.001621;0.001621;0.001621;0.001621;0.001621;0.001621;0.001621
nx;0.026316;0.026316;0.026316;0.026316;0.105263;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
nq;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.360000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
nv;0.001802;0.064865;0.001802;0.001802;0.001802;0.001802;0.533333;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802;0.174775;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802;0.174775;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802
nz;0.024390;0.073171;0.024390;0.024390;0.048780;0.024390;0.097561;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
n.;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.175000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
n,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
nö;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
n#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
d(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
da;0.000359;0.000359;0.065780;0.034508;0.086988;0.003595;0.000359;0.063983;0.007549;0.008627;0.002516;0.000719;0.028397;0.011862;0.000359;0.110352;0.003595;0.008986;0.157800;0.000359;0.017973;0.015457;0.001078;0.332854;0.004313;0.002876;0.000359;0.026240;0.000359;0.000359;0.000359;0.000359;0.000359
dn;0.000758;0.006818;0.000758;0.000758;0.000758;0.000758;0.032576;0.000758;0.000758;0.099242;0.000758;0.000758;0.000758;0.001515;0.000758;0.000758;0.000758;0.000758;0.837121;0.000758;0.000758;0.002273;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758
dd;0.001087;0.130435;0.001087;0.001087;0.069565;0.001087;0.125000;0.042391;0.001087;0.001087;0.001087;0.001087;0.277174;0.015217;0.019565;0.001087;0.001087;0.001087;0.001087;0.001087;0.015217;0.210870;0.005435;0.054348;0.011957;0.001087;0.001087;0.001087;0.001087;0.001087;0.001087;0.001087;0.001087
d ;0.000026;0.090275;0.018944;0.020340;0.005634;0.051715;0.013465;0.014240;0.053782;0.020417;0.004161;0.015869;0.027524;0.061742;0.063500;0.023906;0.022795;0.012095;0.231954;0.008606;0.001396;0.118368;0.051999;0.040628;0.022123;0.000078;0.000853;0.002817;0.000388;0.000129;0.000155;0.000052;0.000026
dw;0.008065;0.290323;0.008065;0.008065;0.008065;0.008065;0.193548;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.112903;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.153226;0.016129;0.016129;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065
de;0.000092;0.098154;0.113488;0.048848;0.115325;0.001561;0.013222;0.186484;0.024516;0.028097;0.000275;0.004683;0.014507;0.057387;0.030484;0.142503;0.023047;0.000826;0.013773;0.000092;0.017721;0.000826;0.000551;0.000092;0.053163;0.000275;0.000275;0.009182;0.000092;0.000184;0.000092;0.000092;0.000092
dr;0.000762;0.102134;0.000762;0.001524;0.012195;0.000762;0.357470;0.000762;0.000762;0.000762;0.000762;0.000762;0.000762;0.003049;0.115854;0.000762;0.000762;0.149390;0.000762;0.000762;0.006098;0.214939;0.000762;0.006098;0.000762;0.000762;0.000762;0.000762;0.000762;0.014482;0.000762;0.000762;0.000762
db;0.015873;0.111111;0.015873;0.015873;0.015873;0.015873;0.047619;0.031746;0.015873;0.015873;0.015873;0.015873;0.206349;0.015873;0.126984;0.015873;0.015873;0.031746;0.015873;0.015873;0.015873;0.031746;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
dc;0.006173;0.432099;0.006173;0.006173;0.228395;0.006173;0.006173;0.012346;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.074074;0.006173;0.006173;0.024691;0.006173;0.006173;0.043210;0.006173;0.024691;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173
dk;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
dg;0.003534;0.010601;0.003534;0.003534;0.003534;0.003534;0.699647;0.003534;0.003534;0.003534;0.003534;0.003534;0.007067;0.003534;0.003534;0.053004;0.003534;0.007067;0.003534;0.003534;0.003534;0.095406;0.003534;0.035336;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534;0.003534
dl;0.001718;0.005155;0.001718;0.001718;0.003436;0.001718;0.556701;0.001718;0.001718;0.003436;0.001718;0.001718;0.001718;0.001718;0.010309;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.134021;0.001718;0.242268;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718
ds;0.000639;0.005109;0.000639;0.001916;0.784802;0.000639;0.017880;0.000639;0.001916;0.008940;0.001277;0.000639;0.009579;0.000639;0.010856;0.002554;0.000639;0.000639;0.006386;0.000639;0.128991;0.003193;0.004470;0.000639;0.000639;0.000639;0.000639;0.000639;0.000639;0.000639;0.000639;0.000639;0.000639
do;0.000089;0.000179;0.365318;0.002055;0.228893;0.067542;0.091307;0.009828;0.000179;0.010364;0.000089;0.007862;0.040740;0.001608;0.007594;0.017868;0.003931;0.025641;0.002770;0.000089;0.033146;0.077727;0.000089;0.000179;0.001251;0.001519;0.000089;0.000268;0.001429;0.000089;0.000089;0.000089;0.000089
dm;0.002049;0.182377;0.002049;0.002049;0.002049;0.002049;0.159836;0.002049;0.002049;0.002049;0.002049;0.002049;0.002049;0.016393;0.022541;0.002049;0.002049;0.002049;0.022541;0.002049;0.002049;0.534836;0.002049;0.002049;0.002049;0.004098;0.002049;0.006148;0.002049;0.002049;0.002049;0.002049;0.002049
dp;0.013889;0.097222;0.013889;0.013889;0.138889;0.013889;0.027778;0.027778;0.013889;0.013889;0.013889;0.013889;0.027778;0.013889;0.055556;0.013889;0.013889;0.013889;0.013889;0.013889;0.041667;0.013889;0.236111;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889
du;0.001009;0.112008;0.015136;0.197780;0.002018;0.001009;0.023209;0.099899;0.003027;0.211907;0.004036;0.010091;0.060545;0.090817;0.002018;0.091826;0.027245;0.001009;0.021191;0.001009;0.001009;0.003027;0.007064;0.001009;0.002018;0.001009;0.001009;0.002018;0.001009;0.001009;0.001009;0.001009;0.001009
dt;0.012821;0.025641;0.012821;0.012821;0.038462;0.012821;0.346154;0.089744;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.025641;0.012821;0.012821;0.038462;0.012821;0.012821;0.012821;0.025641;0.089744;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821
dj;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.153846;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
d);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
di;0.000138;0.070609;0.152688;0.268205;0.016858;0.000138;0.037170;0.036479;0.006494;0.116070;0.000138;0.007185;0.002764;0.128644;0.022661;0.008705;0.002487;0.000829;0.032472;0.000138;0.003454;0.000138;0.000138;0.000415;0.060937;0.000138;0.000138;0.022385;0.000829;0.000138;0.000138;0.000138;0.000138
dh;0.019231;0.134615;0.019231;0.019231;0.038462;0.019231;0.096154;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.038462;0.057692;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.115385;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
dy;0.000434;0.000434;0.007819;0.000869;0.739357;0.000434;0.001303;0.000434;0.002606;0.000434;0.000434;0.000869;0.003910;0.097741;0.000434;0.000869;0.000434;0.000434;0.000434;0.000434;0.125109;0.009557;0.000434;0.000434;0.000434;0.000434;0.000434;0.000434;0.000434;0.000869;0.000434;0.000434;0.000434
df;0.010204;0.295918;0.010204;0.010204;0.081633;0.010204;0.030612;0.122449;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.051020;0.010204;0.010204;0.091837;0.010204;0.010204;0.020408;0.051020;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204
dx;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
dq;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
dv;0.006061;0.303030;0.006061;0.006061;0.006061;0.006061;0.169697;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.133333;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.218182;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061
dz;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
d.;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
d,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
dö;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
d#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 (;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 a;0.000019;0.000075;0.348770;0.010747;0.179121;0.005683;0.000056;0.082189;0.054280;0.028603;0.000169;0.031454;0.087422;0.044396;0.000038;0.017987;0.007896;0.003095;0.042182;0.000056;0.040832;0.002438;0.001444;0.000131;0.009716;0.000150;0.000038;0.000807;0.000038;0.000113;0.000019;0.000019;0.000019
 n;0.000083;0.060178;0.000083;0.000495;0.000578;0.000413;0.190771;0.001899;0.001816;0.000165;0.000083;0.000165;0.000083;0.002559;0.681608;0.000083;0.000165;0.031534;0.000165;0.000083;0.000165;0.024847;0.000165;0.000413;0.000743;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083
 d;0.000056;0.051517;0.006984;0.000056;0.002961;0.000168;0.199754;0.034475;0.000056;0.002067;0.000056;0.000112;0.000168;0.000391;0.504442;0.001118;0.000726;0.021400;0.000391;0.000112;0.001118;0.168855;0.000224;0.002179;0.000056;0.000168;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056
  ;0.000224;0.094876;0.017901;0.032670;0.014545;0.058626;0.015663;0.015440;0.045424;0.036026;0.006937;0.016559;0.040949;0.051018;0.079436;0.048333;0.064220;0.031327;0.104274;0.007160;0.004699;0.088387;0.032446;0.062430;0.022376;0.000224;0.000895;0.005147;0.000671;0.000448;0.000224;0.000224;0.000224
 w;0.000027;0.243224;0.000027;0.000027;0.000459;0.000216;0.230790;0.013000;0.000027;0.000027;0.000027;0.000027;0.000027;0.000081;0.097770;0.000135;0.000027;0.000027;0.000027;0.000027;0.000108;0.109745;0.303773;0.000108;0.000054;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027
 e;0.000123;0.060160;0.110988;0.013751;0.000737;0.000123;0.000368;0.011295;0.000123;0.022591;0.000368;0.004543;0.085697;0.035114;0.000123;0.032167;0.004788;0.002210;0.005770;0.000246;0.000123;0.025905;0.000246;0.011909;0.014487;0.165746;0.014733;0.374463;0.000614;0.000123;0.000123;0.000123;0.000123
 r;0.000097;0.103756;0.002038;0.000776;0.000388;0.000097;0.512569;0.000097;0.000097;0.000097;0.000097;0.000097;0.000097;0.000097;0.060953;0.000097;0.000291;0.104241;0.001844;0.000097;0.000097;0.204892;0.003785;0.002426;0.000097;0.000097;0.000097;0.000097;0.000097;0.000097;0.000097;0.000097;0.000097
 b;0.000047;0.113494;0.000047;0.000280;0.000233;0.000047;0.402126;0.050126;0.000187;0.000093;0.000047;0.000047;0.028304;0.000280;0.053763;0.000093;0.000047;0.227455;0.000093;0.000047;0.000140;0.067192;0.000187;0.055208;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047
 c;0.000063;0.260033;0.005376;0.000625;0.000875;0.000063;0.024441;0.069759;0.000813;0.000188;0.000563;0.000063;0.064571;0.000125;0.396737;0.000063;0.000125;0.053007;0.000063;0.000063;0.000063;0.019252;0.098325;0.002625;0.000125;0.000063;0.000063;0.000688;0.000188;0.000813;0.000063;0.000063;0.000063
 k;0.000155;0.018495;0.655269;0.000155;0.000622;0.000155;0.068387;0.003108;0.000155;0.000155;0.000933;0.000155;0.001554;0.000311;0.036214;0.000155;0.000155;0.006528;0.000155;0.000155;0.000155;0.181691;0.003108;0.020361;0.000466;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155
 g;0.000071;0.039063;0.000143;0.000071;0.000643;0.000071;0.175962;0.070128;0.000071;0.000071;0.000071;0.000357;0.008284;0.000143;0.517318;0.000214;0.000286;0.111048;0.000071;0.000071;0.000214;0.073413;0.000357;0.001214;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071
 l;0.000053;0.057979;0.000053;0.000053;0.000265;0.000053;0.139521;0.000053;0.000106;0.000053;0.000053;0.000794;0.000212;0.000053;0.144181;0.000106;0.000053;0.004871;0.000053;0.000053;0.000053;0.647093;0.000053;0.003706;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053
 s;0.000033;0.171813;0.003417;0.000033;0.002180;0.004556;0.095506;0.000033;0.000033;0.021997;0.004198;0.000033;0.009046;0.000065;0.303179;0.009372;0.032313;0.053008;0.124109;0.000260;0.000358;0.043604;0.106342;0.013211;0.000033;0.000033;0.001041;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033
 o;0.000035;0.000106;0.241149;0.000922;0.000142;0.011139;0.000035;0.082263;0.019972;0.004541;0.030720;0.000284;0.009649;0.000568;0.000568;0.000568;0.018907;0.097198;0.028131;0.000035;0.000035;0.001242;0.050089;0.000035;0.365910;0.000035;0.000035;0.035332;0.000213;0.000035;0.000035;0.000035;0.000035
 m;0.000061;0.256181;0.000061;0.000121;0.000061;0.000121;0.256971;0.002612;0.000121;0.004678;0.000061;0.000304;0.000547;0.006075;0.201932;0.005893;0.000061;0.043983;0.000121;0.000304;0.000061;0.114574;0.000121;0.104429;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061
 p;0.000064;0.134743;0.000064;0.000064;0.000580;0.000129;0.273419;0.199729;0.000451;0.000580;0.000064;0.000258;0.056798;0.001032;0.202179;0.000064;0.000451;0.081233;0.000193;0.000064;0.000129;0.030623;0.015537;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064;0.000967;0.000064;0.000064;0.000064
 u;0.000198;0.000396;0.254995;0.000396;0.000396;0.000198;0.000198;0.003363;0.000593;0.000593;0.008704;0.003363;0.009100;0.273986;0.000198;0.047676;0.331157;0.000198;0.009496;0.000198;0.000198;0.000198;0.031850;0.000396;0.000198;0.000198;0.000198;0.000198;0.000396;0.020178;0.000198;0.000198;0.000198
