smoothed;3
(;i;m; ;a;l;b;o;u;t;h;e;s;c;);w;p;d;n;y;f;r;g;q;x;j;v;k;z;,;.;í;ö;á;é;ä;#
sí;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
sö;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
sá;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
sé;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
sä;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
s#;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
c(;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ci;0.000180;0.000180;0.001805;0.001263;0.284425;0.014799;0.001805;0.033387;0.000722;0.114059;0.000180;0.123263;0.134452;0.000541;0.000180;0.000180;0.041148;0.062444;0.056488;0.000180;0.053781;0.024725;0.001083;0.000180;0.000180;0.000180;0.033207;0.000180;0.013355;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180
cm;0.022222;0.044444;0.022222;0.044444;0.088889;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
c ;0.000389;0.076205;0.034603;0.000778;0.114308;0.032659;0.038880;0.061431;0.006998;0.084759;0.031882;0.034603;0.100700;0.062597;0.001166;0.048600;0.090980;0.030327;0.020218;0.012053;0.023328;0.050156;0.013608;0.003499;0.000389;0.005832;0.010886;0.003888;0.001166;0.000389;0.000389;0.000389;0.000389;0.000389;0.000389;0.000389;0.000389
ca;0.000055;0.007605;0.051857;0.023807;0.000055;0.216191;0.005842;0.000055;0.183842;0.051086;0.000331;0.000165;0.062493;0.002425;0.004188;0.000055;0.025405;0.008101;0.262592;0.000055;0.000551;0.075719;0.002921;0.000055;0.000055;0.000055;0.013391;0.000551;0.000055;0.000055;0.000055;0.000055;0.000055;0.000055;0.000055;0.000055;0.000055
cl;0.000326;0.223165;0.000326;0.000326;0.236215;0.000326;0.000326;0.107667;0.140946;0.000326;0.000326;0.268515;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.013377;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326
cb;0.020000;0.020000;0.060000;0.020000;0.020000;0.020000;0.020000;0.120000;0.020000;0.020000;0.020000;0.020000;0.140000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
co;0.000057;0.004044;0.262843;0.011505;0.007917;0.047784;0.001595;0.010764;0.232601;0.004385;0.007803;0.001310;0.011448;0.001709;0.001936;0.001879;0.006721;0.005980;0.286707;0.000057;0.002734;0.065668;0.005468;0.000057;0.000456;0.000114;0.015036;0.000854;0.000114;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057
cu;0.000342;0.014696;0.075871;0.001025;0.001367;0.292208;0.008544;0.027683;0.003418;0.139440;0.000342;0.007177;0.174299;0.000684;0.000342;0.000342;0.024265;0.001367;0.000342;0.000342;0.003076;0.170540;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.047505;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342
ct;0.000111;0.271669;0.003214;0.199401;0.009643;0.053757;0.000222;0.071714;0.238971;0.000333;0.000111;0.059521;0.041787;0.000443;0.031700;0.000111;0.000111;0.000111;0.001441;0.000111;0.001330;0.012303;0.000111;0.000111;0.000111;0.000111;0.000333;0.000111;0.000111;0.000111;0.000111;0.000111;0.000111;0.000111;0.000111;0.000111;0.000111
ch;0.000100;0.103338;0.005713;0.414654;0.181818;0.000501;0.000100;0.059537;0.022953;0.000902;0.000200;0.096121;0.004310;0.000301;0.063045;0.000601;0.000802;0.000301;0.015836;0.006315;0.000401;0.020347;0.000100;0.000200;0.000100;0.000100;0.000100;0.000200;0.000100;0.000100;0.000100;0.000100;0.000200;0.000100;0.000100;0.000100;0.000100
ce;0.000095;0.013533;0.011451;0.411848;0.002744;0.017413;0.004826;0.002366;0.001987;0.003028;0.000189;0.005300;0.156336;0.000379;0.067947;0.000095;0.030661;0.058957;0.097284;0.000946;0.001798;0.109019;0.000189;0.000095;0.000189;0.000095;0.000095;0.000284;0.000095;0.000095;0.000095;0.000095;0.000095;0.000095;0.000095;0.000095;0.000095
cs;0.001247;0.002494;0.001247;0.809227;0.006234;0.001247;0.001247;0.003741;0.002494;0.006234;0.001247;0.001247;0.001247;0.002494;0.119701;0.001247;0.011222;0.001247;0.001247;0.001247;0.001247;0.002494;0.001247;0.001247;0.001247;0.001247;0.001247;0.001247;0.001247;0.001247;0.001247;0.001247;0.001247;0.001247;0.001247;0.001247;0.001247
cc;0.000776;0.019395;0.000776;0.029480;0.114042;0.003103;0.000776;0.321179;0.170675;0.001552;0.003879;0.293251;0.001552;0.001552;0.003103;0.000776;0.000776;0.001552;0.000776;0.000776;0.000776;0.017843;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776
c);0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
cw;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.136364;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
cp;0.020000;0.020000;0.020000;0.060000;0.120000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.120000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
cd;0.012048;0.012048;0.012048;0.084337;0.012048;0.012048;0.012048;0.481928;0.012048;0.012048;0.012048;0.012048;0.024096;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048
cn;0.012987;0.025974;0.012987;0.012987;0.038961;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.051948;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.454545;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987
cy;0.000822;0.000822;0.009039;0.728020;0.001643;0.000822;0.002465;0.000822;0.000822;0.000822;0.000822;0.000822;0.003287;0.040263;0.138044;0.000822;0.000822;0.000822;0.049302;0.000822;0.000822;0.004930;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822
cf;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.155556;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
cr;0.000215;0.220361;0.000215;0.000859;0.336770;0.000215;0.000215;0.113832;0.034149;0.000215;0.000215;0.277491;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.010095;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215
cg;0.018182;0.218182;0.018182;0.036364;0.090909;0.018182;0.018182;0.018182;0.036364;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.036364;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
cq;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.576471;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765
cx;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
cj;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
cv;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
ck;0.000232;0.059055;0.001853;0.551413;0.014590;0.035665;0.003937;0.006484;0.002779;0.001390;0.001158;0.115563;0.063224;0.007179;0.078972;0.007642;0.002084;0.002779;0.010653;0.015285;0.001390;0.000695;0.011811;0.000232;0.000232;0.000695;0.000463;0.000232;0.000232;0.000232;0.000463;0.000232;0.000232;0.000232;0.000232;0.000232;0.000232
cz;0.015152;0.015152;0.015152;0.015152;0.045455;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.363636;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.075758;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152
c,;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
c.;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.100000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
cí;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
cö;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
cá;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
cé;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
cä;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
c#;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
)(;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)i;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)m;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
) ;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)a;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)l;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)b;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)o;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)u;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)t;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)h;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)e;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)s;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)c;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
));0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)w;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
)p;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
