smoothed;3
(;p;r;e;s;i;d;n;t; ;u;m;a;y;h;g;w;o;);b;c;z;x;v;f;l;k;.;j;q;,;é;á;ä;í;#
vw;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
vo;0.000632;0.000632;0.202908;0.000632;0.001264;0.089128;0.003793;0.008850;0.333755;0.001264;0.007585;0.001896;0.000632;0.003793;0.000632;0.006953;0.006321;0.000632;0.000632;0.000632;0.042351;0.000632;0.013274;0.000632;0.000632;0.242731;0.021492;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632
v);0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
vb;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
vc;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
vz;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
vx;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
vv;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.146341;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
vf;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
vl;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.031915;0.010638;0.010638;0.585106;0.010638;0.010638;0.010638;0.010638;0.031915;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638
vk;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
v.;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
vj;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
vq;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
v,;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
vé;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
vá;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
vä;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ví;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
v#;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
f(;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
fp;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.240000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
fr;0.000174;0.000174;0.000174;0.240647;0.000174;0.083696;0.000174;0.000348;0.000174;0.000174;0.007482;0.000174;0.079346;0.001566;0.000174;0.000174;0.000174;0.581695;0.000174;0.000174;0.000348;0.000174;0.000174;0.000174;0.000174;0.000174;0.000174;0.000174;0.000174;0.000174;0.000174;0.000174;0.000174;0.000174;0.000174;0.000174
fe;0.000176;0.000176;0.220193;0.135733;0.041089;0.011765;0.054785;0.103073;0.015452;0.161018;0.000351;0.035119;0.029675;0.000702;0.000702;0.002283;0.046005;0.000176;0.033538;0.006321;0.063740;0.000351;0.000176;0.001054;0.000176;0.034416;0.000176;0.000176;0.000176;0.000176;0.000176;0.000176;0.000176;0.000176;0.000176;0.000176
fs;0.003861;0.003861;0.003861;0.042471;0.003861;0.007722;0.003861;0.003861;0.023166;0.667954;0.007722;0.003861;0.003861;0.003861;0.027027;0.003861;0.003861;0.003861;0.104247;0.003861;0.011583;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861
fi;0.000126;0.000126;0.304736;0.053888;0.019470;0.000126;0.009295;0.161412;0.030398;0.002261;0.000126;0.000251;0.002010;0.000126;0.000126;0.050622;0.000126;0.000251;0.000754;0.002889;0.194071;0.000502;0.009923;0.062932;0.012310;0.079764;0.000126;0.000126;0.000251;0.000126;0.000126;0.000126;0.000126;0.000126;0.000126;0.000126
fd;0.012500;0.012500;0.187500;0.162500;0.012500;0.125000;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.100000;0.012500;0.012500;0.012500;0.012500;0.037500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
fn;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ft;0.000371;0.001113;0.000742;0.345697;0.017433;0.043027;0.000371;0.001113;0.000371;0.411721;0.001113;0.000371;0.002596;0.028932;0.010757;0.000742;0.050445;0.000742;0.067136;0.000742;0.001855;0.000371;0.000371;0.000371;0.000371;0.007418;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371
f ;0.000042;0.041513;0.017975;0.012620;0.048362;0.053800;0.019511;0.011291;0.332974;0.004027;0.007846;0.027274;0.085143;0.091203;0.040973;0.013782;0.034414;0.028187;0.000747;0.021047;0.045664;0.000208;0.000125;0.007182;0.022417;0.015941;0.003736;0.000291;0.010088;0.001121;0.000291;0.000042;0.000042;0.000042;0.000042;0.000042
fu;0.000451;0.000451;0.065795;0.003155;0.095088;0.000451;0.002704;0.241100;0.059036;0.003605;0.000451;0.000451;0.000451;0.000451;0.000451;0.006309;0.000451;0.000451;0.000901;0.000451;0.000451;0.003605;0.000451;0.000451;0.000451;0.507436;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451
fm;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.083333;0.020833;0.020833;0.145833;0.020833;0.020833;0.020833;0.020833;0.041667;0.062500;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
fa;0.000222;0.000222;0.069142;0.000222;0.060471;0.094264;0.001779;0.063361;0.047799;0.003779;0.023344;0.172966;0.000222;0.001334;0.001112;0.000889;0.001334;0.000222;0.000667;0.016452;0.290351;0.000667;0.000222;0.052690;0.000222;0.067363;0.026679;0.000222;0.000222;0.000222;0.000222;0.000222;0.000222;0.000222;0.000222;0.000222
fy;0.003367;0.003367;0.003367;0.016835;0.003367;0.353535;0.003367;0.003367;0.003367;0.457912;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.063973;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367
fh;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
fg;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.255319;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
fw;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.255319;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
fo;0.000075;0.000075;0.843215;0.000150;0.000826;0.000225;0.000375;0.003452;0.000075;0.001951;0.051561;0.000450;0.000600;0.000075;0.000075;0.000075;0.001201;0.026944;0.000300;0.000075;0.009757;0.000075;0.007580;0.000075;0.000150;0.049835;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075
f);0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
fb;0.001395;0.001395;0.001395;0.001395;0.001395;0.947001;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.004184;0.001395;0.001395;0.001395;0.001395;0.002789;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395;0.001395
fc;0.018182;0.018182;0.090909;0.054545;0.018182;0.018182;0.018182;0.018182;0.018182;0.054545;0.018182;0.018182;0.036364;0.018182;0.018182;0.018182;0.018182;0.072727;0.018182;0.018182;0.145455;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
fz;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
fx;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
fv;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ff;0.000210;0.002736;0.001263;0.260311;0.034091;0.200126;0.000210;0.000210;0.001263;0.388468;0.000631;0.000842;0.011574;0.001473;0.000631;0.000210;0.000210;0.030093;0.057870;0.000210;0.000421;0.000210;0.000210;0.000210;0.000210;0.003788;0.000421;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210
fl;0.000728;0.000728;0.000728;0.152111;0.003639;0.130277;0.000728;0.000728;0.000728;0.037118;0.057496;0.000728;0.270015;0.119360;0.000728;0.000728;0.000728;0.199418;0.009461;0.000728;0.002183;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728
fk;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.250000;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.076923;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
f.;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
fj;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
fq;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
f,;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
fé;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
fá;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
fä;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
fí;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
f#;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
l(;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
lp;0.001754;0.001754;0.007018;0.175439;0.080702;0.063158;0.001754;0.001754;0.001754;0.408772;0.001754;0.001754;0.021053;0.001754;0.071930;0.001754;0.001754;0.014035;0.066667;0.001754;0.001754;0.001754;0.001754;0.001754;0.036842;0.010526;0.001754;0.001754;0.001754;0.001754;0.001754;0.001754;0.001754;0.001754;0.001754;0.001754
lr;0.002217;0.002217;0.002217;0.656319;0.002217;0.203991;0.002217;0.002217;0.002217;0.015521;0.004435;0.002217;0.002217;0.015521;0.002217;0.002217;0.002217;0.035477;0.002217;0.004435;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217
le;0.000039;0.001441;0.029168;0.023599;0.059465;0.000779;0.057751;0.028973;0.060361;0.349663;0.000273;0.034581;0.097979;0.007711;0.000545;0.069590;0.002726;0.001168;0.056194;0.005140;0.038358;0.000467;0.004985;0.016200;0.049963;0.001363;0.000935;0.000117;0.000039;0.000117;0.000039;0.000039;0.000039;0.000039;0.000117;0.000039
ls;0.000268;0.001339;0.000268;0.115930;0.000268;0.006693;0.000535;0.000268;0.005890;0.456760;0.000268;0.000268;0.003213;0.000535;0.028112;0.000268;0.000268;0.292637;0.075502;0.000268;0.006426;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268
li;0.000046;0.009087;0.000231;0.077171;0.068776;0.000046;0.008165;0.143734;0.158910;0.002998;0.000092;0.017067;0.020066;0.000046;0.000784;0.031644;0.000046;0.023110;0.000554;0.014346;0.131141;0.018359;0.011347;0.034273;0.047742;0.000738;0.178329;0.000046;0.000046;0.000784;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046
